營運日,星期,總運量
108/6/1,六,"2,149,155"
108/6/2,日,"1,713,842"
108/6/3,一,"2,179,379"
108/6/4,二,"2,215,656"
108/6/5,三,"2,270,143"
108/6/6,四,"2,396,157"
108/6/7,五,"1,548,142"
108/6/8,六,"1,802,883"
108/6/9,日,"1,666,067"
108/6/10,一,"2,169,406"
108/6/11,二,"2,176,509"
108/6/12,三,"2,250,689"
108/6/13,四,"2,254,263"
108/6/14,五,"2,428,458"
108/6/15,六,"2,094,047"
108/6/16,日,"1,753,648"
108/6/17,一,"2,168,868"
108/6/18,二,"2,202,277"
108/6/19,三,"2,248,969"
108/6/20,四,"2,272,541"
108/6/21,五,"2,442,732"
108/6/22,六,"1,975,156"
108/6/23,日,"1,639,811"
108/6/24,一,"2,154,830"
108/6/25,二,"2,183,938"
108/6/26,三,"2,228,887"
108/6/27,四,"2,222,730"
108/6/28,五,"2,456,641"
108/6/29,六,"1,960,312"
108/6/30,日,"1,673,669"
