營運日,星期,總運量
109/12/1,二,"2,153,119"
109/12/2,三,"2,216,949"
109/12/3,四,"2,235,258"
109/12/4,五,"2,478,901"
109/12/5,六,"2,120,857"
109/12/6,日,"1,757,729"
109/12/7,一,"2,146,482"
109/12/8,二,"2,202,929"
109/12/9,三,"2,235,903"
109/12/10,四,"2,270,502"
109/12/11,五,"2,470,696"
109/12/12,六,"2,268,320"
109/12/13,日,"1,857,480"
109/12/14,一,"2,163,973"
109/12/15,二,"2,236,243"
109/12/16,三,"2,274,377"
109/12/17,四,"2,317,323"
109/12/18,五,"2,519,964"
109/12/19,六,"2,176,716"
109/12/20,日,"1,820,832"
109/12/21,一,"2,198,564"
109/12/22,二,"2,259,063"
109/12/23,三,"2,268,912"
109/12/24,四,"2,292,874"
109/12/25,五,"2,478,488"
109/12/26,六,"2,009,816"
109/12/27,日,"1,621,732"
109/12/28,一,"2,154,767"
109/12/29,二,"2,216,991"
109/12/30,三,"2,232,640"
109/12/31,四,"2,579,413"
