營運日,星期,總運量
108/12/1,日,"1,916,245"
108/12/2,一,"2,246,715"
108/12/3,二,"2,321,440"
108/12/4,三,"2,343,301"
108/12/5,四,"2,369,944"
108/12/6,五,"2,612,924"
108/12/7,六,"2,263,701"
108/12/8,日,"2,037,952"
108/12/9,一,"2,301,139"
108/12/10,二,"2,351,082"
108/12/11,三,"2,374,416"
108/12/12,四,"2,417,589"
108/12/13,五,"2,655,283"
108/12/14,六,"2,522,817"
108/12/15,日,"2,161,202"
108/12/16,一,"2,339,050"
108/12/17,二,"2,373,567"
108/12/18,三,"2,397,127"
108/12/19,四,"2,409,075"
108/12/20,五,"2,668,231"
108/12/21,六,"2,341,312"
108/12/22,日,"1,964,639"
108/12/23,一,"2,383,457"
108/12/24,二,"2,476,680"
108/12/25,三,"2,520,902"
108/12/26,四,"2,466,352"
108/12/27,五,"2,658,619"
108/12/28,六,"2,298,630"
108/12/29,日,"1,777,124"
108/12/30,一,"2,469,682"
108/12/31,二,"3,206,078"
