營運日,星期,總運量
106/4/1,六,"1,822,636"
106/4/2,日,"1,773,319"
106/4/3,一,"1,712,219"
106/4/4,二,"1,460,361"
106/4/5,三,"2,059,486"
106/4/6,四,"2,132,098"
106/4/7,五,"2,336,863"
106/4/8,六,"2,044,515"
106/4/9,日,"1,772,088"
106/4/10,一,"2,082,153"
106/4/11,二,"2,145,232"
106/4/12,三,"2,180,774"
106/4/13,四,"2,180,977"
106/4/14,五,"2,362,235"
106/4/15,六,"2,063,462"
106/4/16,日,"1,731,476"
106/4/17,一,"2,048,873"
106/4/18,二,"2,086,681"
106/4/19,三,"2,139,074"
106/4/20,四,"2,146,441"
106/4/21,五,"2,364,951"
106/4/22,六,"2,019,041"
106/4/23,日,"1,754,781"
106/4/24,一,"2,050,920"
106/4/25,二,"2,095,866"
106/4/26,三,"2,116,414"
106/4/27,四,"2,158,321"
106/4/28,五,"2,361,961"
106/4/29,六,"2,031,281"
106/4/30,日,"1,800,071"
