營運日,星期,總運量
109/5/1,五,"1,452,132"
109/5/2,六,"1,240,663"
109/5/3,日,"1,078,426"
109/5/4,一,"1,787,247"
109/5/5,二,"1,838,393"
109/5/6,三,"1,865,369"
109/5/7,四,"1,876,648"
109/5/8,五,"2,042,650"
109/5/9,六,"1,367,408"
109/5/10,日,"1,086,291"
109/5/11,一,"1,830,260"
109/5/12,二,"1,859,597"
109/5/13,三,"1,916,915"
109/5/14,四,"1,908,693"
109/5/15,五,"2,100,221"
109/5/16,六,"1,421,929"
109/5/17,日,"1,207,244"
109/5/18,一,"1,839,176"
109/5/19,二,"1,890,073"
109/5/20,三,"1,957,849"
109/5/21,四,"1,945,985"
109/5/22,五,"2,062,207"
109/5/23,六,"1,419,585"
109/5/24,日,"1,316,526"
109/5/25,一,"1,899,805"
109/5/26,二,"1,925,792"
109/5/27,三,"1,981,150"
109/5/28,四,"1,960,490"
109/5/29,五,"2,138,843"
109/5/30,六,"1,610,380"
109/5/31,日,"1,345,544"
