營運日,星期,總運量
105/5/1,日,"1,755,057"
105/5/2,一,"1,807,596"
105/5/3,二,"2,077,283"
105/5/4,三,"2,112,583"
105/5/5,四,"2,135,616"
105/5/6,五,"2,370,926"
105/5/7,六,"1,953,575"
105/5/8,日,"1,580,602"
105/5/9,一,"2,001,262"
105/5/10,二,"2,043,710"
105/5/11,三,"2,085,198"
105/5/12,四,"2,087,353"
105/5/13,五,"2,363,597"
105/5/14,六,"2,060,206"
105/5/15,日,"1,770,290"
105/5/16,一,"2,055,738"
105/5/17,二,"2,045,270"
105/5/18,三,"2,073,546"
105/5/19,四,"2,083,057"
105/5/20,五,"2,312,253"
105/5/21,六,"2,046,123"
105/5/22,日,"1,722,405"
105/5/23,一,"2,019,488"
105/5/24,二,"2,036,762"
105/5/25,三,"2,064,867"
105/5/26,四,"2,062,843"
105/5/27,五,"2,245,752"
105/5/28,六,"1,992,370"
105/5/29,日,"1,641,869"
105/5/30,一,"1,987,501"
105/5/31,二,"2,046,651"
