營運日,星期,總運量
109/1/1,三,"1,768,450"
109/1/2,四,"2,375,895"
109/1/3,五,"2,559,124"
109/1/4,六,"2,130,903"
109/1/5,日,"1,770,021"
109/1/6,一,"2,272,277"
109/1/7,二,"2,316,816"
109/1/8,三,"2,364,455"
109/1/9,四,"2,589,167"
109/1/10,五,"2,678,263"
109/1/11,六,"1,833,675"
109/1/12,日,"1,749,483"
109/1/13,一,"2,317,961"
109/1/14,二,"2,342,929"
109/1/15,三,"2,370,114"
109/1/16,四,"2,488,589"
109/1/17,五,"2,531,572"
109/1/18,六,"2,148,604"
109/1/19,日,"1,894,255"
109/1/20,一,"2,412,320"
109/1/21,二,"2,417,080"
109/1/22,三,"2,308,679"
109/1/23,四,"1,369,339"
109/1/24,五,"823,931"
109/1/25,六,"1,319,053"
109/1/26,日,"1,103,763"
109/1/27,一,"1,343,930"
109/1/28,二,"1,404,627"
109/1/29,三,"1,314,694"
109/1/30,四,"1,933,378"
109/1/31,五,"2,088,499"
