營運日,星期,總運量
108/4/1,一,"2,144,804"
108/4/2,二,"2,171,834"
108/4/3,三,"2,273,568"
108/4/4,四,"1,735,515"
108/4/5,五,"1,566,395"
108/4/6,六,"1,900,553"
108/4/7,日,"1,630,024"
108/4/8,一,"2,145,864"
108/4/9,二,"2,183,861"
108/4/10,三,"2,219,725"
108/4/11,四,"2,241,734"
108/4/12,五,"2,444,520"
108/4/13,六,"2,043,937"
108/4/14,日,"1,774,276"
108/4/15,一,"2,196,041"
108/4/16,二,"2,216,472"
108/4/17,三,"2,290,629"
108/4/18,四,"2,123,512"
108/4/19,五,"2,486,534"
108/4/20,六,"2,100,220"
108/4/21,日,"1,763,745"
108/4/22,一,"2,175,378"
108/4/23,二,"2,238,959"
108/4/24,三,"2,282,495"
108/4/25,四,"2,292,426"
108/4/26,五,"2,502,241"
108/4/27,六,"2,145,151"
108/4/28,日,"1,832,023"
108/4/29,一,"2,230,815"
108/4/30,二,"2,320,863"
