營運日,星期,總運量
106/3/1,三,"2,088,893"
106/3/2,四,"2,084,461"
106/3/3,五,"2,287,419"
106/3/4,六,"2,012,231"
106/3/5,日,"1,770,122"
106/3/6,一,"2,101,708"
106/3/7,二,"2,150,048"
106/3/8,三,"2,203,459"
106/3/9,四,"2,198,453"
106/3/10,五,"2,400,005"
106/3/11,六,"2,100,336"
106/3/12,日,"1,831,527"
106/3/13,一,"2,129,534"
106/3/14,二,"2,168,801"
106/3/15,三,"2,175,622"
106/3/16,四,"2,212,951"
106/3/17,五,"2,396,654"
106/3/18,六,"2,118,684"
106/3/19,日,"1,720,963"
106/3/20,一,"2,081,692"
106/3/21,二,"2,129,987"
106/3/22,三,"2,182,418"
106/3/23,四,"2,203,776"
106/3/24,五,"2,401,878"
106/3/25,六,"1,975,025"
106/3/26,日,"1,655,470"
106/3/27,一,"2,102,268"
106/3/28,二,"2,143,971"
106/3/29,三,"2,266,744"
106/3/30,四,"2,173,960"
106/3/31,五,"2,329,942"
