營運日,星期,總運量
110/1/1,五,"1,402,989"
110/1/2,六,"1,520,804"
110/1/3,日,"1,395,246"
110/1/4,一,"2,080,804"
110/1/5,二,"2,125,152"
110/1/6,三,"2,163,136"
110/1/7,四,"2,152,215"
110/1/8,五,"2,288,184"
110/1/9,六,"1,678,013"
110/1/10,日,"1,414,776"
110/1/11,一,"2,095,713"
110/1/12,二,"2,128,063"
110/1/13,三,"2,174,910"
110/1/14,四,"2,203,013"
110/1/15,五,"2,389,948"
110/1/16,六,"1,782,740"
110/1/17,日,"1,395,292"
110/1/18,一,"2,067,158"
110/1/19,二,"2,135,352"
110/1/20,三,"2,233,831"
110/1/21,四,"2,105,986"
110/1/22,五,"2,185,131"
110/1/23,六,"1,636,572"
110/1/24,日,"1,412,602"
110/1/25,一,"2,000,447"
110/1/26,二,"2,050,066"
110/1/27,三,"2,055,668"
110/1/28,四,"2,050,506"
110/1/29,五,"2,193,252"
110/1/30,六,"1,689,077"
110/1/31,日,"1,421,231"
