營運日,星期,總運量
110/2/1,一,"2,014,033"
110/2/2,二,"2,048,542"
110/2/3,三,"2,108,763"
110/2/4,四,"2,124,265"
110/2/5,五,"2,249,784"
110/2/6,六,"1,681,012"
110/2/7,日,"1,403,610"
110/2/8,一,"2,020,890"
110/2/9,二,"1,976,086"
110/2/10,三,"1,133,921"
110/2/11,四,"671,712"
110/2/12,五,"1,044,332"
110/2/13,六,"1,012,682"
110/2/14,日,"1,342,891"
110/2/15,一,"1,469,423"
110/2/16,二,"1,386,871"
110/2/17,三,"1,913,173"
110/2/18,四,"2,067,078"
110/2/19,五,"2,154,504"
110/2/20,六,"2,060,354"
110/2/21,日,"1,557,465"
110/2/22,一,"2,117,967"
110/2/23,二,"2,148,289"
110/2/24,三,"2,181,721"
110/2/25,四,"2,187,034"
110/2/26,五,"2,317,853"
110/2/27,六,"1,746,297"
110/2/28,日,"1,763,396"
