營運日,星期,總運量
107/4/1,日,"1,697,619"
107/4/2,一,"2,071,359"
107/4/3,二,"2,189,626"
107/4/4,三,"1,697,997"
107/4/5,四,"1,522,905"
107/4/6,五,"1,694,341"
107/4/7,六,"1,744,916"
107/4/8,日,"1,645,586"
107/4/9,一,"2,056,059"
107/4/10,二,"2,110,370"
107/4/11,三,"2,145,962"
107/4/12,四,"2,147,178"
107/4/13,五,"2,349,624"
107/4/14,六,"1,989,513"
107/4/15,日,"1,653,740"
107/4/16,一,"2,105,224"
107/4/17,二,"2,174,733"
107/4/18,三,"2,177,685"
107/4/19,四,"2,186,498"
107/4/20,五,"2,372,013"
107/4/21,六,"2,085,381"
107/4/22,日,"1,762,073"
107/4/23,一,"2,093,310"
107/4/24,二,"2,123,145"
107/4/25,三,"2,218,000"
107/4/26,四,"2,235,603"
107/4/27,五,"2,398,307"
107/4/28,六,"2,073,450"
107/4/29,日,"1,769,243"
107/4/30,一,"2,173,731"
