營運日,星期,總運量
106/6/1,四,"2,108,733"
106/6/2,五,"2,065,402"
106/6/3,六,"1,961,183"
106/6/4,日,"1,509,777"
106/6/5,一,"2,038,718"
106/6/6,二,"2,077,458"
106/6/7,三,"2,099,442"
106/6/8,四,"2,097,434"
106/6/9,五,"2,290,857"
106/6/10,六,"2,028,284"
106/6/11,日,"1,666,129"
106/6/12,一,"2,031,091"
106/6/13,二,"2,068,320"
106/6/14,三,"2,052,846"
106/6/15,四,"2,151,131"
106/6/16,五,"2,275,052"
106/6/17,六,"1,745,484"
106/6/18,日,"1,504,619"
106/6/19,一,"2,045,553"
106/6/20,二,"2,067,290"
106/6/21,三,"2,115,676"
106/6/22,四,"2,142,092"
106/6/23,五,"2,301,901"
106/6/24,六,"1,943,189"
106/6/25,日,"1,665,792"
106/6/26,一,"2,014,810"
106/6/27,二,"2,053,167"
106/6/28,三,"2,072,841"
106/6/29,四,"2,089,302"
106/6/30,五,"2,316,429"
