營運日,星期,總運量
104/8/1,六,"1,889,055"
104/8/2,日,"1,619,236"
104/8/3,一,"1,974,161"
104/8/4,二,"2,019,424"
104/8/5,三,"2,075,561"
104/8/6,四,"2,098,273"
104/8/7,五,"1,723,750"
104/8/8,六,"418,145"
104/8/9,日,"1,599,329"
104/8/10,一,"2,051,206"
104/8/11,二,"2,102,735"
104/8/12,三,"2,116,807"
104/8/13,四,"2,076,236"
104/8/14,五,"2,225,728"
104/8/15,六,"2,020,878"
104/8/16,日,"1,697,682"
104/8/17,一,"2,001,124"
104/8/18,二,"2,043,688"
104/8/19,三,"2,099,317"
104/8/20,四,"2,112,100"
104/8/21,五,"2,129,921"
104/8/22,六,"1,694,436"
104/8/23,日,"1,404,687"
104/8/24,一,"1,980,190"
104/8/25,二,"2,057,150"
104/8/26,三,"2,093,854"
104/8/27,四,"2,022,706"
104/8/28,五,"2,059,565"
104/8/29,六,"1,893,035"
104/8/30,日,"1,640,215"
104/8/31,一,"1,955,864"
