營運日,星期,總運量
109/3/1,日,"1,150,025"
109/3/2,一,"1,920,864"
109/3/3,二,"1,947,228"
109/3/4,三,"1,968,071"
109/3/5,四,"1,992,040"
109/3/6,五,"2,122,101"
109/3/7,六,"1,491,282"
109/3/8,日,"1,241,387"
109/3/9,一,"1,927,134"
109/3/10,二,"1,976,742"
109/3/11,三,"2,005,818"
109/3/12,四,"2,000,021"
109/3/13,五,"2,143,990"
109/3/14,六,"1,456,154"
109/3/15,日,"1,302,332"
109/3/16,一,"1,914,626"
109/3/17,二,"1,932,140"
109/3/18,三,"1,918,991"
109/3/19,四,"1,879,624"
109/3/20,五,"1,978,848"
109/3/21,六,"1,269,298"
109/3/22,日,"1,044,512"
109/3/23,一,"1,756,821"
109/3/24,二,"1,791,544"
109/3/25,三,"1,798,767"
109/3/26,四,"1,797,910"
109/3/27,五,"1,898,513"
109/3/28,六,"1,133,786"
109/3/29,日,"1,015,207"
109/3/30,一,"1,744,832"
109/3/31,二,"1,799,561"
