營運日,星期,總運量
110/8/1,日,"416,836"
110/8/2,一,"1,005,337"
110/8/3,二,"1,049,830"
110/8/4,三,"1,074,185"
110/8/5,四,"1,071,885"
110/8/6,五,"1,094,334"
110/8/7,六,"520,681"
110/8/8,日,"510,030"
110/8/9,一,"1,102,459"
110/8/10,二,"1,152,521"
110/8/11,三,"1,159,820"
110/8/12,四,"1,158,760"
110/8/13,五,"1,192,086"
110/8/14,六,"743,676"
110/8/15,日,"606,891"
110/8/16,一,"1,181,804"
110/8/17,二,"1,213,496"
110/8/18,三,"1,212,028"
110/8/19,四,"1,195,594"
110/8/20,五,"1,256,246"
110/8/21,六,"751,355"
110/8/22,日,"628,225"
110/8/23,一,"1,216,676"
110/8/24,二,"1,250,906"
110/8/25,三,"1,279,755"
110/8/26,四,"1,296,331"
110/8/27,五,"1,352,408"
110/8/28,六,"870,701"
110/8/29,日,"724,860"
110/8/30,一,"1,295,998"
110/8/31,二,"1,323,833"
