營運日,星期,總運量
110/4/1,四,"2,265,611"
110/4/2,五,"1,655,378"
110/4/3,六,"1,564,801"
110/4/4,日,"1,380,448"
110/4/5,一,"1,428,829"
110/4/6,二,"2,096,130"
110/4/7,三,"2,151,189"
110/4/8,四,"2,164,371"
110/4/9,五,"2,343,286"
110/4/10,六,"1,856,608"
110/4/11,日,"1,612,559"
110/4/12,一,"2,111,752"
110/4/13,二,"2,150,148"
110/4/14,三,"2,170,091"
110/4/15,四,"2,179,814"
110/4/16,五,"2,361,705"
110/4/17,六,"1,896,423"
110/4/18,日,"1,547,368"
110/4/19,一,"2,076,745"
110/4/20,二,"2,152,008"
110/4/21,三,"2,187,382"
110/4/22,四,"2,215,312"
110/4/23,五,"2,384,803"
110/4/24,六,"1,993,738"
110/4/25,日,"1,592,887"
110/4/26,一,"2,099,666"
110/4/27,二,"2,131,349"
110/4/28,三,"2,209,775"
110/4/29,四,"2,232,291"
110/4/30,五,"2,015,911"
