營運日,星期,總運量
105/9/1,四,"2,071,956"
105/9/2,五,"2,222,173"
105/9/3,六,"2,092,500"
105/9/4,日,"1,672,593"
105/9/5,一,"2,051,581"
105/9/6,二,"2,072,117"
105/9/7,三,"2,107,294"
105/9/8,四,"2,124,783"
105/9/9,五,"2,227,394"
105/9/10,六,"2,152,507"
105/9/11,日,"1,788,368"
105/9/12,一,"2,115,828"
105/9/13,二,"2,135,404"
105/9/14,三,"2,009,847"
105/9/15,四,"1,291,609"
105/9/16,五,"1,594,095"
105/9/17,六,"856,176"
105/9/18,日,"1,528,804"
105/9/19,一,"2,033,796"
105/9/20,二,"2,075,592"
105/9/21,三,"2,099,653"
105/9/22,四,"2,097,947"
105/9/23,五,"2,295,456"
105/9/24,六,"2,067,411"
105/9/25,日,"1,695,194"
105/9/26,一,"2,050,059"
105/9/27,二,"150,242"
105/9/28,三,"1,133,027"
105/9/29,四,"2,104,662"
105/9/30,五,"2,311,381"
