營運日,星期,總運量
111/2/1,二,"596,235"
111/2/2,三,"725,970"
111/2/3,四,"661,619"
111/2/4,五,"882,640"
111/2/5,六,"1,023,183"
111/2/6,日,"1,009,891"
111/2/7,一,"1,621,844"
111/2/8,二,"1,657,172"
111/2/9,三,"1,666,971"
111/2/10,四,"1,708,819"
111/2/11,五,"1,876,063"
111/2/12,六,"1,413,789"
111/2/13,日,"1,208,059"
111/2/14,一,"1,804,237"
111/2/15,二,"1,787,848"
111/2/16,三,"1,820,065"
111/2/17,四,"1,825,365"
111/2/18,五,"1,952,981"
111/2/19,六,"1,410,710"
111/2/20,日,"1,081,506"
111/2/21,一,"1,867,517"
111/2/22,二,"1,928,367"
111/2/23,三,"1,944,185"
111/2/24,四,"1,952,659"
111/2/25,五,"2,108,924"
111/2/26,六,"1,567,981"
111/2/27,日,"1,461,108"
111/2/28,一,"1,341,660"
