營運日,星期,總運量
107/6/1,五,"2,364,411"
107/6/2,六,"1,926,201"
107/6/3,日,"1,649,380"
107/6/4,一,"2,063,115"
107/6/5,二,"2,147,953"
107/6/6,三,"2,173,023"
107/6/7,四,"2,207,710"
107/6/8,五,"2,387,155"
107/6/9,六,"2,075,195"
107/6/10,日,"1,680,390"
107/6/11,一,"2,109,647"
107/6/12,二,"2,167,642"
107/6/13,三,"2,156,409"
107/6/14,四,"2,171,239"
107/6/15,五,"2,372,389"
107/6/16,六,"1,836,201"
107/6/17,日,"1,651,627"
107/6/18,一,"1,292,320"
107/6/19,二,"2,128,135"
107/6/20,三,"2,144,629"
107/6/21,四,"2,166,846"
107/6/22,五,"2,299,696"
107/6/23,六,"1,879,484"
107/6/24,日,"1,561,289"
107/6/25,一,"2,059,105"
107/6/26,二,"2,120,325"
107/6/27,三,"2,153,432"
107/6/28,四,"2,202,663"
107/6/29,五,"2,413,304"
107/6/30,六,"1,943,107"
