營運日,星期,總運量
106/1/1,日,"1,884,302"
106/1/2,一,"1,613,142"
106/1/3,二,"2,086,078"
106/1/4,三,"2,102,464"
106/1/5,四,"2,121,532"
106/1/6,五,"2,315,537"
106/1/7,六,"1,939,773"
106/1/8,日,"1,569,850"
106/1/9,一,"2,045,798"
106/1/10,二,"2,089,558"
106/1/11,三,"2,114,674"
106/1/12,四,"2,138,719"
106/1/13,五,"2,360,351"
106/1/14,六,"1,934,888"
106/1/15,日,"1,659,418"
106/1/16,一,"2,086,633"
106/1/17,二,"2,137,437"
106/1/18,三,"2,155,254"
106/1/19,四,"2,302,054"
106/1/20,五,"2,369,498"
106/1/21,六,"2,014,707"
106/1/22,日,"1,832,823"
106/1/23,一,"2,204,738"
106/1/24,二,"2,242,085"
106/1/25,三,"2,172,966"
106/1/26,四,"1,902,063"
106/1/27,五,"791,835"
106/1/28,六,"1,368,910"
106/1/29,日,"1,408,008"
106/1/30,一,"1,458,457"
106/1/31,二,"1,611,514"
