營運日,星期,總運量
106/2/1,三,"1,565,485"
106/2/2,四,"1,990,640"
106/2/3,五,"2,161,128"
106/2/4,六,"1,994,773"
106/2/5,日,"1,711,749"
106/2/6,一,"2,145,657"
106/2/7,二,"2,205,460"
106/2/8,三,"2,247,330"
106/2/9,四,"2,180,141"
106/2/10,五,"2,360,414"
106/2/11,六,"2,101,629"
106/2/12,日,"1,828,262"
106/2/13,一,"2,101,904"
106/2/14,二,"2,165,802"
106/2/15,三,"2,132,593"
106/2/16,四,"2,141,177"
106/2/17,五,"2,268,409"
106/2/18,六,"2,228,255"
106/2/19,日,"1,861,147"
106/2/20,一,"2,126,807"
106/2/21,二,"2,152,463"
106/2/22,三,"2,140,162"
106/2/23,四,"2,154,013"
106/2/24,五,"2,345,214"
106/2/25,六,"1,807,223"
106/2/26,日,"1,721,436"
106/2/27,一,"1,852,627"
106/2/28,二,"1,615,869"
