營運日,星期,總運量
107/5/1,二,"1,830,443"
107/5/2,三,"2,149,852"
107/5/3,四,"2,173,771"
107/5/4,五,"2,401,476"
107/5/5,六,"2,050,466"
107/5/6,日,"1,751,591"
107/5/7,一,"2,122,472"
107/5/8,二,"2,147,879"
107/5/9,三,"2,181,976"
107/5/10,四,"2,205,698"
107/5/11,五,"2,400,041"
107/5/12,六,"1,939,125"
107/5/13,日,"1,614,869"
107/5/14,一,"2,089,882"
107/5/15,二,"2,122,561"
107/5/16,三,"2,137,588"
107/5/17,四,"2,150,279"
107/5/18,五,"2,393,201"
107/5/19,六,"2,028,726"
107/5/20,日,"1,759,232"
107/5/21,一,"2,091,554"
107/5/22,二,"2,131,468"
107/5/23,三,"2,132,584"
107/5/24,四,"2,173,502"
107/5/25,五,"2,376,873"
107/5/26,六,"2,136,526"
107/5/27,日,"1,765,091"
107/5/28,一,"2,114,586"
107/5/29,二,"2,119,968"
107/5/30,三,"2,135,388"
107/5/31,四,"2,150,649"
