營運日,星期,總運量
109/2/1,六,"1,692,542"
109/2/2,日,"1,486,380"
109/2/3,一,"2,022,237"
109/2/4,二,"2,016,734"
109/2/5,三,"2,028,045"
109/2/6,四,"2,052,713"
109/2/7,五,"2,118,396"
109/2/8,六,"1,492,598"
109/2/9,日,"1,303,966"
109/2/10,一,"1,932,576"
109/2/11,二,"1,959,471"
109/2/12,三,"2,018,313"
109/2/13,四,"2,003,630"
109/2/14,五,"2,147,042"
109/2/15,六,"1,932,682"
109/2/16,日,"1,315,524"
109/2/17,一,"1,906,983"
109/2/18,二,"1,960,860"
109/2/19,三,"1,994,380"
109/2/20,四,"1,987,124"
109/2/21,五,"2,083,925"
109/2/22,六,"1,567,585"
109/2/23,日,"1,324,637"
109/2/24,一,"1,909,235"
109/2/25,二,"2,013,309"
109/2/26,三,"2,024,371"
109/2/27,四,"2,115,795"
109/2/28,五,"1,362,756"
109/2/29,六,"1,348,417"
