營運日,星期,總運量
105/6/1,三,"2,085,241"
105/6/2,四,"2,057,406"
105/6/3,五,"2,217,653"
105/6/4,六,"2,141,420"
105/6/5,日,"1,628,951"
105/6/6,一,"2,009,914"
105/6/7,二,"2,060,645"
105/6/8,三,"2,206,745"
105/6/9,四,"1,383,568"
105/6/10,五,"1,644,107"
105/6/11,六,"1,656,988"
105/6/12,日,"1,545,124"
105/6/13,一,"1,998,527"
105/6/14,二,"2,020,762"
105/6/15,三,"2,087,579"
105/6/16,四,"2,082,883"
105/6/17,五,"2,238,000"
105/6/18,六,"1,919,994"
105/6/19,日,"1,633,198"
105/6/20,一,"2,000,513"
105/6/21,二,"2,052,881"
105/6/22,三,"2,097,523"
105/6/23,四,"2,102,941"
105/6/24,五,"2,274,718"
105/6/25,六,"1,938,883"
105/6/26,日,"1,588,645"
105/6/27,一,"2,004,035"
105/6/28,二,"2,006,246"
105/6/29,三,"2,072,423"
105/6/30,四,"2,185,900"
