營運日,星期,總運量
109/4/1,三,"1,845,945"
109/4/2,四,"963,077"
109/4/3,五,"906,102"
109/4/4,六,"808,469"
109/4/5,日,"847,784"
109/4/6,一,"1,686,889"
109/4/7,二,"1,688,714"
109/4/8,三,"1,695,986"
109/4/9,四,"1,696,895"
109/4/10,五,"1,835,396"
109/4/11,六,"1,131,642"
109/4/12,日,"903,010"
109/4/13,一,"1,683,979"
109/4/14,二,"1,714,740"
109/4/15,三,"1,747,277"
109/4/16,四,"1,753,607"
109/4/17,五,"1,876,971"
109/4/18,六,"1,257,209"
109/4/19,日,"1,012,894"
109/4/20,一,"1,715,611"
109/4/21,二,"1,725,523"
109/4/22,三,"1,752,610"
109/4/23,四,"1,788,873"
109/4/24,五,"1,890,696"
109/4/25,六,"1,197,038"
109/4/26,日,"955,981"
109/4/27,一,"1,735,221"
109/4/28,二,"1,797,429"
109/4/29,三,"1,830,804"
109/4/30,四,"1,901,675"
