營運日,星期,總運量
108/3/1,五,"2,046,878"
108/3/2,六,"2,055,351"
108/3/3,日,"1,541,049"
108/3/4,一,"2,187,528"
108/3/5,二,"2,253,218"
108/3/6,三,"2,276,962"
108/3/7,四,"2,308,495"
108/3/8,五,"2,532,508"
108/3/9,六,"2,047,649"
108/3/10,日,"1,705,560"
108/3/11,一,"2,234,324"
108/3/12,二,"2,298,293"
108/3/13,三,"2,307,463"
108/3/14,四,"2,301,836"
108/3/15,五,"2,533,921"
108/3/16,六,"2,185,367"
108/3/17,日,"1,865,367"
108/3/18,一,"2,243,896"
108/3/19,二,"2,261,202"
108/3/20,三,"2,282,430"
108/3/21,四,"2,288,102"
108/3/22,五,"2,472,357"
108/3/23,六,"2,052,710"
108/3/24,日,"1,665,625"
108/3/25,一,"2,192,137"
108/3/26,二,"2,276,154"
108/3/27,三,"2,304,978"
108/3/28,四,"2,319,606"
108/3/29,五,"2,470,642"
108/3/30,六,"2,077,896"
108/3/31,日,"1,689,492"
