營運日,星期,總運量
105/4/1,五,"2,290,586"
105/4/2,六,"1,831,245"
105/4/3,日,"1,655,160"
105/4/4,一,"1,480,686"
105/4/5,二,"1,546,725"
105/4/6,三,"2,042,835"
105/4/7,四,"2,083,337"
105/4/8,五,"2,262,496"
105/4/9,六,"1,986,909"
105/4/10,日,"1,639,842"
105/4/11,一,"2,030,065"
105/4/12,二,"2,071,344"
105/4/13,三,"2,077,048"
105/4/14,四,"2,114,514"
105/4/15,五,"2,305,264"
105/4/16,六,"1,996,900"
105/4/17,日,"1,591,332"
105/4/18,一,"2,016,226"
105/4/19,二,"2,060,568"
105/4/20,三,"2,086,056"
105/4/21,四,"2,093,563"
105/4/22,五,"2,280,273"
105/4/23,六,"2,025,336"
105/4/24,日,"1,636,365"
105/4/25,一,"2,001,125"
105/4/26,二,"2,043,013"
105/4/27,三,"2,094,694"
105/4/28,四,"2,105,433"
105/4/29,五,"2,332,754"
105/4/30,六,"2,036,641"
