營運日,星期,總運量
108/1/1,二,"1,628,886"
108/1/2,三,"2,252,978"
108/1/3,四,"2,269,048"
108/1/4,五,"2,448,988"
108/1/5,六,"1,951,667"
108/1/6,日,"1,557,160"
108/1/7,一,"2,185,682"
108/1/8,二,"2,222,106"
108/1/9,三,"2,244,563"
108/1/10,四,"2,290,502"
108/1/11,五,"2,494,932"
108/1/12,六,"2,074,242"
108/1/13,日,"1,773,966"
108/1/14,一,"2,192,358"
108/1/15,二,"2,232,255"
108/1/16,三,"2,243,466"
108/1/17,四,"2,269,923"
108/1/18,五,"2,526,685"
108/1/19,六,"2,351,756"
108/1/20,日,"1,841,643"
108/1/21,一,"2,241,036"
108/1/22,二,"2,256,106"
108/1/23,三,"2,315,776"
108/1/24,四,"2,334,810"
108/1/25,五,"2,513,568"
108/1/26,六,"2,172,969"
108/1/27,日,"1,896,648"
108/1/28,一,"2,303,673"
108/1/29,二,"2,288,084"
108/1/30,三,"2,321,252"
108/1/31,四,"2,306,449"
