營運日,星期,總運量
107/1/1,一,"1,720,093"
107/1/2,二,"2,145,048"
107/1/3,三,"2,171,402"
107/1/4,四,"2,180,942"
107/1/5,五,"2,389,403"
107/1/6,六,"1,888,484"
107/1/7,日,"1,494,354"
107/1/8,一,"2,132,783"
107/1/9,二,"2,157,076"
107/1/10,三,"2,178,334"
107/1/11,四,"2,183,574"
107/1/12,五,"2,366,209"
107/1/13,六,"1,932,326"
107/1/14,日,"1,644,482"
107/1/15,一,"2,094,029"
107/1/16,二,"2,127,813"
107/1/17,三,"2,142,658"
107/1/18,四,"2,172,659"
107/1/19,五,"2,437,865"
107/1/20,六,"1,945,706"
107/1/21,日,"1,664,591"
107/1/22,一,"2,082,004"
107/1/23,二,"2,137,493"
107/1/24,三,"2,187,271"
107/1/25,四,"2,205,744"
107/1/26,五,"2,400,316"
107/1/27,六,"2,108,068"
107/1/28,日,"1,690,477"
107/1/29,一,"2,152,659"
107/1/30,二,"2,172,081"
107/1/31,三,"2,195,030"
