營運日,星期,總運量
104/10/1,四,"2,077,459"
104/10/2,五,"2,271,503"
104/10/3,六,"2,010,513"
104/10/4,日,"1,679,532"
104/10/5,一,"2,037,441"
104/10/6,二,"2,085,377"
104/10/7,三,"2,094,563"
104/10/8,四,"2,234,838"
104/10/9,五,"1,708,022"
104/10/10,六,"1,746,278"
104/10/11,日,"1,569,192"
104/10/12,一,"1,979,908"
104/10/13,二,"2,022,616"
104/10/14,三,"2,058,401"
104/10/15,四,"2,074,445"
104/10/16,五,"2,252,187"
104/10/17,六,"2,046,525"
104/10/18,日,"1,743,384"
104/10/19,一,"1,978,958"
104/10/20,二,"2,031,443"
104/10/21,三,"2,060,621"
104/10/22,四,"2,086,785"
104/10/23,五,"2,284,367"
104/10/24,六,"2,006,749"
104/10/25,日,"1,781,784"
104/10/26,一,"1,974,472"
104/10/27,二,"2,021,286"
104/10/28,三,"2,050,430"
104/10/29,四,"2,050,111"
104/10/30,五,"2,251,752"
104/10/31,六,"2,025,217"
