營運日,星期,總運量
108/8/1,四,"2,263,609"
108/8/2,五,"2,400,949"
108/8/3,六,"2,107,717"
108/8/4,日,"1,760,848"
108/8/5,一,"2,204,133"
108/8/6,二,"2,268,297"
108/8/7,三,"2,305,404"
108/8/8,四,"2,088,700"
108/8/9,五,"814,909"
108/8/10,六,"1,975,405"
108/8/11,日,"1,741,166"
108/8/12,一,"2,248,786"
108/8/13,二,"2,293,653"
108/8/14,三,"2,279,835"
108/8/15,四,"2,200,823"
108/8/16,五,"2,428,999"
108/8/17,六,"2,037,193"
108/8/18,日,"1,695,698"
108/8/19,一,"2,199,921"
108/8/20,二,"2,253,664"
108/8/21,三,"2,234,508"
108/8/22,四,"2,297,438"
108/8/23,五,"2,425,579"
108/8/24,六,"1,728,195"
108/8/25,日,"1,701,143"
108/8/26,一,"2,182,579"
108/8/27,二,"2,231,373"
108/8/28,三,"2,244,299"
108/8/29,四,"2,188,576"
108/8/30,五,"2,312,255"
108/8/31,六,"1,951,699"
