營運日,星期,總運量
111/3/1,二,"1,896,846"
111/3/2,三,"1,900,871"
111/3/3,四,"1,920,435"
111/3/4,五,"2,089,390"
111/3/5,六,"1,597,408"
111/3/6,日,"1,261,514"
111/3/7,一,"1,896,781"
111/3/8,二,"1,964,087"
111/3/9,三,"1,987,727"
111/3/10,四,"1,995,082"
111/3/11,五,"2,179,350"
111/3/12,六,"1,732,307"
111/3/13,日,"1,418,461"
111/3/14,一,"1,913,369"
111/3/15,二,"1,961,952"
111/3/16,三,"1,978,813"
111/3/17,四,"1,994,243"
111/3/18,五,"2,138,282"
111/3/19,六,"1,658,463"
111/3/20,日,"1,385,940"
111/3/21,一,"1,913,872"
111/3/22,二,"1,950,221"
111/3/23,三,"1,990,318"
111/3/24,四,"1,979,733"
111/3/25,五,"2,172,261"
111/3/26,六,"1,595,364"
111/3/27,日,"1,246,748"
111/3/28,一,"1,919,316"
111/3/29,二,"1,940,394"
111/3/30,三,"1,969,018"
111/3/31,四,"1,958,461"
