營運日,星期,總運量
110/3/1,一,"1,558,770"
110/3/2,二,"2,142,858"
110/3/3,三,"2,158,686"
110/3/4,四,"2,178,873"
110/3/5,五,"2,371,738"
110/3/6,六,"1,706,831"
110/3/7,日,"1,480,930"
110/3/8,一,"2,115,319"
110/3/9,二,"2,156,282"
110/3/10,三,"2,195,013"
110/3/11,四,"2,206,570"
110/3/12,五,"2,379,578"
110/3/13,六,"1,909,273"
110/3/14,日,"1,626,631"
110/3/15,一,"2,106,648"
110/3/16,二,"2,165,519"
110/3/17,三,"2,186,962"
110/3/18,四,"2,189,400"
110/3/19,五,"2,366,482"
110/3/20,六,"1,898,339"
110/3/21,日,"1,511,129"
110/3/22,一,"2,082,651"
110/3/23,二,"2,153,389"
110/3/24,三,"2,185,958"
110/3/25,四,"2,219,073"
110/3/26,五,"2,401,875"
110/3/27,六,"1,895,668"
110/3/28,日,"1,592,036"
110/3/29,一,"2,129,008"
110/3/30,二,"2,160,597"
110/3/31,三,"2,230,030"
