營運日,星期,總運量
105/8/1,一,"2,024,048"
105/8/2,二,"2,044,790"
105/8/3,三,"2,068,432"
105/8/4,四,"2,095,718"
105/8/5,五,"2,250,765"
105/8/6,六,"1,926,113"
105/8/7,日,"1,616,707"
105/8/8,一,"2,002,855"
105/8/9,二,"2,102,402"
105/8/10,三,"2,136,288"
105/8/11,四,"2,148,121"
105/8/12,五,"2,296,179"
105/8/13,六,"2,024,714"
105/8/14,日,"1,751,907"
105/8/15,一,"2,084,316"
105/8/16,二,"2,099,395"
105/8/17,三,"2,023,387"
105/8/18,四,"2,131,199"
105/8/19,五,"2,243,406"
105/8/20,六,"1,980,454"
105/8/21,日,"1,709,172"
105/8/22,一,"2,034,753"
105/8/23,二,"2,097,749"
105/8/24,三,"2,136,471"
105/8/25,四,"2,128,694"
105/8/26,五,"2,243,950"
105/8/27,六,"1,957,100"
105/8/28,日,"1,608,973"
105/8/29,一,"2,027,089"
105/8/30,二,"2,041,931"
105/8/31,三,"2,066,324"
