營運日,星期,總運量
110/6/1,二,"500,288"
110/6/2,三,"494,777"
110/6/3,四,"484,678"
110/6/4,五,"486,953"
110/6/5,六,"207,152"
110/6/6,日,"160,534"
110/6/7,一,"501,708"
110/6/8,二,"495,035"
110/6/9,三,"492,350"
110/6/10,四,"497,695"
110/6/11,五,"505,716"
110/6/12,六,"219,476"
110/6/13,日,"168,154"
110/6/14,一,"176,735"
110/6/15,二,"535,605"
110/6/16,三,"531,135"
110/6/17,四,"528,656"
110/6/18,五,"544,194"
110/6/19,六,"250,790"
110/6/20,日,"191,678"
110/6/21,一,"552,144"
110/6/22,二,"562,478"
110/6/23,三,"567,028"
110/6/24,四,"562,938"
110/6/25,五,"589,960"
110/6/26,六,"278,770"
110/6/27,日,"213,596"
110/6/28,一,"593,366"
110/6/29,二,"606,268"
110/6/30,三,"620,065"
,,
