營運日,星期,總運量
108/9/1,日,"1,623,798"
108/9/2,一,"2,138,424"
108/9/3,二,"2,197,072"
108/9/4,三,"2,176,799"
108/9/5,四,"2,218,142"
108/9/6,五,"2,424,273"
108/9/7,六,"2,027,949"
108/9/8,日,"1,791,084"
108/9/9,一,"2,217,165"
108/9/10,二,"2,275,866"
108/9/11,三,"2,313,030"
108/9/12,四,"2,432,772"
108/9/13,五,"1,546,868"
108/9/14,六,"1,683,910"
108/9/15,日,"1,512,205"
108/9/16,一,"2,193,878"
108/9/17,二,"2,253,288"
108/9/18,三,"2,281,347"
108/9/19,四,"2,309,953"
108/9/20,五,"2,533,218"
108/9/21,六,"2,022,528"
108/9/22,日,"1,773,481"
108/9/23,一,"2,213,270"
108/9/24,二,"2,251,458"
108/9/25,三,"2,287,557"
108/9/26,四,"2,300,313"
108/9/27,五,"2,479,753"
108/9/28,六,"1,965,804"
108/9/29,日,"1,770,248"
108/9/30,一,"701,836"
