營運日,星期,總運量
104/9/1,二,"1,959,545"
104/9/2,三,"2,002,423"
104/9/3,四,"2,033,770"
104/9/4,五,"2,178,670"
104/9/5,六,"1,914,113"
104/9/6,日,"1,636,131"
104/9/7,一,"1,983,873"
104/9/8,二,"2,020,302"
104/9/9,三,"2,031,625"
104/9/10,四,"2,053,844"
104/9/11,五,"2,198,038"
104/9/12,六,"2,005,731"
104/9/13,日,"1,697,950"
104/9/14,一,"2,028,392"
104/9/15,二,"2,045,651"
104/9/16,三,"2,049,277"
104/9/17,四,"2,036,907"
104/9/18,五,"2,224,876"
104/9/19,六,"1,996,811"
104/9/20,日,"1,716,051"
104/9/21,一,"2,000,623"
104/9/22,二,"2,036,969"
104/9/23,三,"2,057,760"
104/9/24,四,"2,069,696"
104/9/25,五,"2,273,736"
104/9/26,六,"1,703,801"
104/9/27,日,"1,312,132"
104/9/28,一,"685,240"
104/9/29,二,"1,129,016"
104/9/30,三,"2,055,236"
