營運日,星期,總運量
109/8/1,六,"1,810,712"
109/8/2,日,"1,461,997"
109/8/3,一,"1,842,539"
109/8/4,二,"2,024,906"
109/8/5,三,"2,084,153"
109/8/6,四,"2,106,021"
109/8/7,五,"2,211,091"
109/8/8,六,"1,577,575"
109/8/9,日,"1,465,362"
109/8/10,一,"2,007,711"
109/8/11,二,"2,013,730"
109/8/12,三,"2,091,846"
109/8/13,四,"2,117,883"
109/8/14,五,"2,222,235"
109/8/15,六,"1,791,524"
109/8/16,日,"1,532,070"
109/8/17,一,"2,008,897"
109/8/18,二,"2,085,644"
109/8/19,三,"2,114,252"
109/8/20,四,"2,123,579"
109/8/21,五,"2,264,473"
109/8/22,六,"1,834,128"
109/8/23,日,"1,516,520"
109/8/24,一,"2,015,157"
109/8/25,二,"2,120,671"
109/8/26,三,"2,093,049"
109/8/27,四,"2,033,979"
109/8/28,五,"2,184,999"
109/8/29,六,"1,771,453"
109/8/30,日,"1,428,215"
109/8/31,一,"1,977,237"
