營運日,星期,總運量
105/3/1,二,"2,070,860"
105/3/2,三,"2,120,446"
105/3/3,四,"2,125,366"
105/3/4,五,"2,326,502"
105/3/5,六,"2,091,533"
105/3/6,日,"1,756,332"
105/3/7,一,"2,046,756"
105/3/8,二,"2,093,281"
105/3/9,三,"2,122,383"
105/3/10,四,"2,176,204"
105/3/11,五,"2,395,222"
105/3/12,六,"2,035,270"
105/3/13,日,"1,770,284"
105/3/14,一,"2,075,900"
105/3/15,二,"2,110,896"
105/3/16,三,"2,147,097"
105/3/17,四,"2,144,348"
105/3/18,五,"2,357,983"
105/3/19,六,"1,944,280"
105/3/20,日,"1,734,132"
105/3/21,一,"2,113,011"
105/3/22,二,"2,124,121"
105/3/23,三,"2,177,955"
105/3/24,四,"2,192,311"
105/3/25,五,"2,430,700"
105/3/26,六,"2,144,020"
105/3/27,日,"1,765,097"
105/3/28,一,"2,119,715"
105/3/29,二,"2,115,928"
105/3/30,三,"2,124,315"
105/3/31,四,"2,142,034"
