營運日,星期,總運量
107/9/1,六,"1,876,143"
107/9/2,日,"1,593,331"
107/9/3,一,"2,103,229"
107/9/4,二,"2,106,183"
107/9/5,三,"2,134,851"
107/9/6,四,"2,163,596"
107/9/7,五,"2,306,418"
107/9/8,六,"1,851,644"
107/9/9,日,"1,481,143"
107/9/10,一,"2,151,451"
107/9/11,二,"2,190,699"
107/9/12,三,"2,191,163"
107/9/13,四,"2,205,266"
107/9/14,五,"2,372,248"
107/9/15,六,"1,901,598"
107/9/16,日,"1,639,270"
107/9/17,一,"2,141,871"
107/9/18,二,"2,175,866"
107/9/19,三,"2,199,273"
107/9/20,四,"2,219,427"
107/9/21,五,"2,414,691"
107/9/22,六,"1,798,490"
107/9/23,日,"1,576,070"
107/9/24,一,"1,374,677"
107/9/25,二,"2,163,935"
107/9/26,三,"2,221,276"
107/9/27,四,"2,249,922"
107/9/28,五,"2,384,178"
107/9/29,六,"1,930,891"
107/9/30,日,"1,750,079"
