營運日,星期,總運量
108/10/1,二,"2,292,880"
108/10/2,三,"2,320,208"
108/10/3,四,"2,350,820"
108/10/4,五,"2,471,547"
108/10/5,六,"2,461,004"
108/10/6,日,"1,826,012"
108/10/7,一,"2,242,657"
108/10/8,二,"2,298,581"
108/10/9,三,"2,452,474"
108/10/10,四,"1,942,428"
108/10/11,五,"1,959,026"
108/10/12,六,"1,961,987"
108/10/13,日,"1,708,211"
108/10/14,一,"2,187,500"
108/10/15,二,"2,231,028"
108/10/16,三,"2,278,993"
108/10/17,四,"2,314,569"
108/10/18,五,"2,495,506"
108/10/19,六,"2,148,575"
108/10/20,日,"1,854,954"
108/10/21,一,"2,231,596"
108/10/22,二,"2,288,077"
108/10/23,三,"2,306,153"
108/10/24,四,"2,315,146"
108/10/25,五,"2,530,722"
108/10/26,六,"2,316,211"
108/10/27,日,"1,844,947"
108/10/28,一,"2,223,379"
108/10/29,二,"2,247,981"
108/10/30,三,"2,275,598"
108/10/31,四,"2,306,005"
