營運日,星期,總運量
107/3/1,四,"2,209,721"
107/3/2,五,"2,372,185"
107/3/3,六,"2,193,043"
107/3/4,日,"1,763,921"
107/3/5,一,"2,127,286"
107/3/6,二,"2,173,145"
107/3/7,三,"2,210,099"
107/3/8,四,"2,236,563"
107/3/9,五,"2,422,478"
107/3/10,六,"2,164,494"
107/3/11,日,"1,853,987"
107/3/12,一,"2,152,647"
107/3/13,二,"2,194,164"
107/3/14,三,"2,228,608"
107/3/15,四,"2,245,142"
107/3/16,五,"2,453,438"
107/3/17,六,"2,131,707"
107/3/18,日,"1,871,538"
107/3/19,一,"2,161,485"
107/3/20,二,"2,170,415"
107/3/21,三,"2,209,852"
107/3/22,四,"2,223,826"
107/3/23,五,"2,418,726"
107/3/24,六,"2,112,760"
107/3/25,日,"1,748,948"
107/3/26,一,"2,136,608"
107/3/27,二,"2,184,449"
107/3/28,三,"2,206,511"
107/3/29,四,"2,225,796"
107/3/30,五,"2,321,120"
107/3/31,六,"2,234,177"
