營運日,星期,總運量
110/7/1,四,"615,990"
110/7/2,五,"631,443"
110/7/3,六,"295,902"
110/7/4,日,"224,054"
110/7/5,一,"641,035"
110/7/6,二,"640,142"
110/7/7,三,"647,747"
110/7/8,四,"647,858"
110/7/9,五,"671,768"
110/7/10,六,"331,244"
110/7/11,日,"254,016"
110/7/12,一,"688,981"
110/7/13,二,"723,371"
110/7/14,三,"741,813"
110/7/15,四,"738,470"
110/7/16,五,"748,416"
110/7/17,六,"376,218"
110/7/18,日,"296,763"
110/7/19,一,"756,237"
110/7/20,二,"771,749"
110/7/21,三,"773,111"
110/7/22,四,"740,669"
110/7/23,五,"709,428"
110/7/24,六,"316,242"
110/7/25,日,"329,570"
110/7/26,一,"817,097"
110/7/27,二,"915,060"
110/7/28,三,"921,029"
110/7/29,四,"917,412"
110/7/30,五,"956,520"
110/7/31,六,"486,966"
