營運日,星期,總運量
108/2/1,五,"2,269,621"
108/2/2,六,"1,615,859"
108/2/3,日,"1,272,730"
108/2/4,一,"797,530"
108/2/5,二,"1,413,531"
108/2/6,三,"1,498,861"
108/2/7,四,"1,751,848"
108/2/8,五,"1,741,781"
108/2/9,六,"1,738,442"
108/2/10,日,"1,600,375"
108/2/11,一,"2,117,422"
108/2/12,二,"2,204,440"
108/2/13,三,"2,247,816"
108/2/14,四,"2,331,604"
108/2/15,五,"2,513,685"
108/2/16,六,"2,352,160"
108/2/17,日,"2,018,971"
108/2/18,一,"2,269,452"
108/2/19,二,"2,295,503"
108/2/20,三,"2,307,053"
108/2/21,四,"2,299,896"
108/2/22,五,"2,403,239"
108/2/23,六,"2,383,436"
108/2/24,日,"1,683,320"
108/2/25,一,"2,225,632"
108/2/26,二,"2,273,836"
108/2/27,三,"2,433,172"
108/2/28,四,"1,952,603"
