營運日,星期,總運量
106/9/1,五,"2,177,430"
106/9/2,六,"1,751,825"
106/9/3,日,"1,452,237"
106/9/4,一,"2,001,400"
106/9/5,二,"1,975,158"
106/9/6,三,"2,082,879"
106/9/7,四,"2,091,018"
106/9/8,五,"2,224,758"
106/9/9,六,"1,892,813"
106/9/10,日,"1,609,654"
106/9/11,一,"2,039,617"
106/9/12,二,"2,081,061"
106/9/13,三,"1,962,736"
106/9/14,四,"2,000,767"
106/9/15,五,"2,265,537"
106/9/16,六,"1,958,080"
106/9/17,日,"1,648,912"
106/9/18,一,"2,035,911"
106/9/19,二,"2,079,426"
106/9/20,三,"2,118,687"
106/9/21,四,"2,118,031"
106/9/22,五,"2,310,041"
106/9/23,六,"1,966,757"
106/9/24,日,"1,631,419"
106/9/25,一,"2,041,082"
106/9/26,二,"2,070,263"
106/9/27,三,"2,113,775"
106/9/28,四,"2,127,970"
106/9/29,五,"2,263,204"
106/9/30,六,"2,158,819"
