營運日,星期,總運量
111/1/1,六,"1,424,853"
111/1/2,日,"1,234,896"
111/1/3,一,"1,848,914"
111/1/4,二,"1,899,097"
111/1/5,三,"1,934,621"
111/1/6,四,"1,954,365"
111/1/7,五,"2,103,575"
111/1/8,六,"1,527,434"
111/1/9,日,"1,223,178"
111/1/10,一,"1,863,377"
111/1/11,二,"1,899,867"
111/1/12,三,"1,893,172"
111/1/13,四,"1,889,064"
111/1/14,五,"2,024,999"
111/1/15,六,"1,381,653"
111/1/16,日,"1,144,323"
111/1/17,一,"1,786,422"
111/1/18,二,"1,803,422"
111/1/19,三,"1,838,325"
111/1/20,四,"1,912,578"
111/1/21,五,"1,851,246"
111/1/22,六,"1,608,952"
111/1/23,日,"1,072,477"
111/1/24,一,"1,688,345"
111/1/25,二,"1,713,693"
111/1/26,三,"1,710,690"
111/1/27,四,"1,693,007"
111/1/28,五,"1,673,525"
111/1/29,六,"981,204"
111/1/30,日,"733,248"
111/1/31,一,"525,312"
