營運日,星期,總運量
107/8/1,三,"2,138,668"
107/8/2,四,"2,162,278"
107/8/3,五,"2,286,623"
107/8/4,六,"1,901,059"
107/8/5,日,"1,682,194"
107/8/6,一,"2,101,574"
107/8/7,二,"2,169,044"
107/8/8,三,"2,150,784"
107/8/9,四,"2,197,511"
107/8/10,五,"2,356,231"
107/8/11,六,"1,996,335"
107/8/12,日,"1,684,264"
107/8/13,一,"2,136,361"
107/8/14,二,"2,197,576"
107/8/15,三,"2,216,779"
107/8/16,四,"2,246,552"
107/8/17,五,"2,370,889"
107/8/18,六,"2,014,748"
107/8/19,日,"1,683,467"
107/8/20,一,"2,112,543"
107/8/21,二,"2,140,829"
107/8/22,三,"2,173,958"
107/8/23,四,"2,167,639"
107/8/24,五,"2,259,305"
107/8/25,六,"1,736,586"
107/8/26,日,"1,631,422"
107/8/27,一,"2,101,189"
107/8/28,二,"2,127,032"
107/8/29,三,"2,119,043"
107/8/30,四,"2,124,015"
107/8/31,五,"2,297,374"
