營運日,星期,總運量
110/9/1,三,"1,438,550"
110/9/2,四,"1,440,604"
110/9/3,五,"1,505,296"
110/9/4,六,"875,707"
110/9/5,日,"742,234"
110/9/6,一,"1,415,518"
110/9/7,二,"1,440,957"
110/9/8,三,"1,424,984"
110/9/9,四,"1,382,856"
110/9/10,五,"1,393,492"
110/9/11,六,"1,113,630"
110/9/12,日,"223,579"
110/9/13,一,"1,392,218"
110/9/14,二,"1,446,935"
110/9/15,三,"1,471,826"
110/9/16,四,"1,477,415"
110/9/17,五,"1,557,394"
110/9/18,六,"896,966"
110/9/19,日,"789,099"
110/9/20,一,"835,284"
110/9/21,二,"732,483"
110/9/22,三,"1,459,954"
110/9/23,四,"1,472,261"
110/9/24,五,"1,568,222"
110/9/25,六,"1,033,938"
110/9/26,日,"866,375"
110/9/27,一,"1,477,877"
110/9/28,二,"1,507,236"
110/9/29,三,"1,517,404"
110/9/30,四,"1,517,408"
