營運日,星期,總運量
106/5/1,一,"1,766,625"
106/5/2,二,"2,080,021"
106/5/3,三,"2,142,978"
106/5/4,四,"2,152,861"
106/5/5,五,"2,352,448"
106/5/6,六,"1,987,107"
106/5/7,日,"1,748,511"
106/5/8,一,"2,055,848"
106/5/9,二,"2,088,439"
106/5/10,三,"2,116,379"
106/5/11,四,"2,123,612"
106/5/12,五,"2,337,986"
106/5/13,六,"1,916,565"
106/5/14,日,"1,599,230"
106/5/15,一,"2,035,593"
106/5/16,二,"2,091,091"
106/5/17,三,"2,112,900"
106/5/18,四,"2,118,449"
106/5/19,五,"2,405,959"
106/5/20,六,"2,092,918"
106/5/21,日,"1,794,732"
106/5/22,一,"2,056,233"
106/5/23,二,"2,072,407"
106/5/24,三,"2,096,124"
106/5/25,四,"2,118,569"
106/5/26,五,"2,283,022"
106/5/27,六,"1,766,044"
106/5/28,日,"1,704,830"
106/5/29,一,"1,658,125"
106/5/30,二,"1,358,680"
106/5/31,三,"2,097,111"
