營運日,星期,總運量
105/1/1,五,"1,873,454"
105/1/2,六,"1,846,862"
105/1/3,日,"1,507,044"
105/1/4,一,"1,991,063"
105/1/5,二,"2,044,627"
105/1/6,三,"2,083,830"
105/1/7,四,"2,086,100"
105/1/8,五,"2,272,659"
105/1/9,六,"2,028,194"
105/1/10,日,"1,638,885"
105/1/11,一,"2,038,895"
105/1/12,二,"2,062,860"
105/1/13,三,"2,088,213"
105/1/14,四,"2,132,908"
105/1/15,五,"2,358,448"
105/1/16,六,"1,734,775"
105/1/17,日,"1,489,059"
105/1/18,一,"2,051,236"
105/1/19,二,"2,090,992"
105/1/20,三,"2,240,207"
105/1/21,四,"2,148,132"
105/1/22,五,"2,308,657"
105/1/23,六,"1,862,081"
105/1/24,日,"1,581,829"
105/1/25,一,"2,035,606"
105/1/26,二,"2,164,421"
105/1/27,三,"2,165,515"
105/1/28,四,"2,164,245"
105/1/29,五,"2,285,823"
105/1/30,六,"2,250,688"
105/1/31,日,"1,863,818"
