營運日,星期,總運量
110/12/1, 三 ,"1,928,445"
110/12/2, 四 ,"1,953,142"
110/12/3, 五 ,"2,171,493"
110/12/4, 六 ,"1,816,601"
110/12/5, 日 ,"1,441,715"
110/12/6, 一 ,"1,904,281"
110/12/7, 二 ,"1,937,026"
110/12/8, 三 ,"1,997,502"
110/12/9, 四 ,"2,007,942"
110/12/10, 五 ,"2,186,908"
110/12/11, 六 ,"1,892,347"
110/12/12, 日 ,"1,439,099"
110/12/13, 一 ,"1,917,866"
110/12/14, 二 ,"1,960,860"
110/12/15, 三 ,"2,041,486"
110/12/16, 四 ,"2,051,016"
110/12/17, 五 ,"2,255,271"
110/12/18, 六 ,"1,784,316"
110/12/19, 日 ,"1,602,085"
110/12/20, 一 ,"1,932,935"
110/12/21, 二 ,"1,988,517"
110/12/22, 三 ,"2,044,768"
110/12/23, 四 ,"2,048,380"
110/12/24, 五 ,"2,271,326"
110/12/25, 六 ,"1,867,251"
110/12/26, 日 ,"1,445,259"
110/12/27, 一 ,"1,942,822"
110/12/28, 二 ,"1,998,692"
110/12/29, 三 ,"2,041,534"
110/12/30, 四 ,"2,151,462"
110/12/31, 五 ,"2,022,261"
