營運日,星期,總運量
105/10/1,六,"2,027,313"
105/10/2,日,"1,682,509"
105/10/3,一,"2,077,398"
105/10/4,二,"2,120,151"
105/10/5,三,"2,156,306"
105/10/6,四,"2,166,085"
105/10/7,五,"2,374,093"
105/10/8,六,"1,848,146"
105/10/9,日,"1,594,762"
105/10/10,一,"1,533,029"
105/10/11,二,"2,122,463"
105/10/12,三,"2,162,674"
105/10/13,四,"2,172,968"
105/10/14,五,"2,375,774"
105/10/15,六,"2,095,274"
105/10/16,日,"1,770,802"
105/10/17,一,"2,054,087"
105/10/18,二,"2,095,013"
105/10/19,三,"2,118,438"
105/10/20,四,"2,118,636"
105/10/21,五,"2,300,375"
105/10/22,六,"1,993,385"
105/10/23,日,"1,718,588"
105/10/24,一,"2,055,085"
105/10/25,二,"1,897,025"
105/10/26,三,"2,108,092"
105/10/27,四,"2,116,422"
105/10/28,五,"2,307,124"
105/10/29,六,"2,043,614"
105/10/30,日,"1,757,436"
105/10/31,一,"1,839,311"
