營運日,星期,總運量
106/8/1,二,"2,056,366"
106/8/2,三,"2,044,076"
106/8/3,四,"2,108,052"
106/8/4,五,"2,222,245"
106/8/5,六,"1,916,078"
106/8/6,日,"1,628,695"
106/8/7,一,"2,044,614"
106/8/8,二,"2,043,332"
106/8/9,三,"2,120,292"
106/8/10,四,"2,159,835"
106/8/11,五,"2,289,133"
106/8/12,六,"2,010,445"
106/8/13,日,"1,692,212"
106/8/14,一,"2,052,866"
106/8/15,二,"2,118,871"
106/8/16,三,"2,102,736"
106/8/17,四,"2,117,383"
106/8/18,五,"2,246,447"
106/8/19,六,"1,951,490"
106/8/20,日,"1,697,393"
106/8/21,一,"2,049,124"
106/8/22,二,"2,073,977"
106/8/23,三,"2,133,513"
106/8/24,四,"2,142,075"
106/8/25,五,"2,274,103"
106/8/26,六,"2,062,138"
106/8/27,日,"1,679,329"
106/8/28,一,"2,116,191"
106/8/29,二,"2,058,000"
106/8/30,三,"2,066,843"
106/8/31,四,"2,060,866"
