營運日,星期,總運量
108/5/1,三,"1,853,602"
108/5/2,四,"2,322,312"
108/5/3,五,"2,535,932"
108/5/4,六,"2,088,661"
108/5/5,日,"1,821,025"
108/5/6,一,"2,228,204"
108/5/7,二,"2,237,322"
108/5/8,三,"2,254,609"
108/5/9,四,"2,283,830"
108/5/10,五,"2,483,610"
108/5/11,六,"1,986,173"
108/5/12,日,"1,662,626"
108/5/13,一,"2,161,724"
108/5/14,二,"2,197,050"
108/5/15,三,"2,237,950"
108/5/16,四,"2,239,652"
108/5/17,五,"2,461,059"
108/5/18,六,"2,109,137"
108/5/19,日,"1,824,522"
108/5/20,一,"2,112,820"
108/5/21,二,"2,209,551"
108/5/22,三,"2,226,022"
108/5/23,四,"2,241,168"
108/5/24,五,"2,446,566"
108/5/25,六,"2,126,695"
108/5/26,日,"1,751,235"
108/5/27,一,"2,135,073"
108/5/28,二,"2,178,640"
108/5/29,三,"2,276,928"
108/5/30,四,"2,294,240"
108/5/31,五,"2,482,914"
