營運日,星期,總運量
108/7/1,一,"2,149,536"
108/7/2,二,"2,140,734"
108/7/3,三,"2,222,202"
108/7/4,四,"2,218,401"
108/7/5,五,"2,395,762"
108/7/6,六,"1,994,593"
108/7/7,日,"1,756,168"
108/7/8,一,"2,191,522"
108/7/9,二,"2,224,636"
108/7/10,三,"2,257,222"
108/7/11,四,"2,234,398"
108/7/12,五,"2,386,099"
108/7/13,六,"2,004,271"
108/7/14,日,"1,711,032"
108/7/15,一,"2,182,751"
108/7/16,二,"2,237,960"
108/7/17,三,"2,234,253"
108/7/18,四,"2,141,147"
108/7/19,五,"2,341,842"
108/7/20,六,"1,934,467"
108/7/21,日,"1,686,369"
108/7/22,一,"2,159,151"
108/7/23,二,"2,214,504"
108/7/24,三,"2,260,070"
108/7/25,四,"2,291,565"
108/7/26,五,"2,421,873"
108/7/27,六,"2,078,953"
108/7/28,日,"1,796,144"
108/7/29,一,"2,189,864"
108/7/30,二,"2,236,019"
108/7/31,三,"2,264,280"
